"","open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","symbol"
"1",2021-06-01 15:49:00,36401.1,36416.07,36382.12,36390.05,35.324145,2021-06-01 15:49:59,1285815.7387729,726,16.803592,611633.72905093,"BTCUSDT"
"2",2021-06-01 15:50:00,36388.12,36392.05,36357.56,36372.6,19.789918,2021-06-01 15:50:59,719887.00548608,662,9.101336,331082.90947391,"BTCUSDT"
"3",2021-06-01 15:51:00,36370.75,36370.75,36327.18,36349.1,27.375163,2021-06-01 15:51:59,994949.30042424,764,11.010057,400175.26249372,"BTCUSDT"
"4",2021-06-01 15:52:00,36346.64,36366.16,36331.01,36344.83,20.340437,2021-06-01 15:52:59,739419.5890378,635,11.762987,427598.21561929,"BTCUSDT"
"5",2021-06-01 15:53:00,36347.56,36359.36,36338.13,36343.48,18.502478,2021-06-01 15:53:59,672554.84817693,445,7.25143,263586.33057525,"BTCUSDT"
"6",2021-06-01 15:54:00,36343.47,36348,36280.01,36303.99,90.527115,2021-06-01 15:54:59,3287102.29442284,1279,23.527601,854296.12911076,"BTCUSDT"
"7",2021-06-01 15:55:00,36307.63,36317.38,36280,36289.14,40.757658,2021-06-01 15:55:59,1479463.52025184,836,16.080443,583732.20774815,"BTCUSDT"
"8",2021-06-01 15:56:00,36291.25,36309.5,36271.51,36277.15,35.704623,2021-06-01 15:56:59,1295809.44246292,650,20.425831,741367.79062856,"BTCUSDT"
"9",2021-06-01 15:57:00,36274.06,36314.28,36272.99,36295.81,24.665304,2021-06-01 15:57:59,895267.08198973,690,9.980415,362250.42998277,"BTCUSDT"
"10",2021-06-01 15:58:00,36295.81,36295.82,36225.18,36259.12,27.810637,2021-06-01 15:58:59,1008185.50191736,843,14.787744,536074.45085042,"BTCUSDT"
"11",2021-06-01 15:59:00,36259.11,36259.12,36205.58,36240.69,38.708656,2021-06-01 15:59:59,1402533.83386904,840,14.155836,512823.18727897,"BTCUSDT"
"12",2021-06-01 16:00:00,36240.46,36240.49,36124.91,36137.28,56.22087,2021-06-01 16:00:59,2033937.95161435,1612,24.819838,897883.94713265,"BTCUSDT"
"13",2021-06-01 16:01:00,36137.27,36179.32,36100.12,36108.62,75.605161,2021-06-01 16:01:59,2732329.96362484,1472,40.21801,1453633.44839676,"BTCUSDT"
"14",2021-06-01 16:02:00,36110.43,36139.98,36101.89,36117.99,37.107505,2021-06-01 16:02:59,1340431.11331348,821,17.642425,637283.6946386,"BTCUSDT"
"15",2021-06-01 16:03:00,36117.99,36126.25,36007.04,36026.18,95.242777,2021-06-01 16:03:59,3434243.69125042,1692,22.939582,827290.45101713,"BTCUSDT"
"16",2021-06-01 16:04:00,36025.37,36078.99,36000,36044.81,94.971037,2021-06-01 16:04:59,3421361.55458937,1609,28.275173,1019051.50875007,"BTCUSDT"
"17",2021-06-01 16:05:00,36044.79,36044.79,35950,35989.28,100.388369,2021-06-01 16:05:59,3613542.66649841,1603,24.686773,888467.33760049,"BTCUSDT"
"18",2021-06-01 16:06:00,35991.98,36005.34,35961.51,35977.75,51.024818,2021-06-01 16:06:59,1836136.08512659,1068,25.858897,930597.54193076,"BTCUSDT"
"19",2021-06-01 16:07:00,35977.74,36058.4,35939.28,36029.86,142.534492,2021-06-01 16:07:59,5132305.92033545,2843,78.007959,2809338.593819,"BTCUSDT"
"20",2021-06-01 16:08:00,36029.85,36070.64,36002.34,36041.79,62.934141,2021-06-01 16:08:59,2268379.91325628,1422,24.862614,896030.41668874,"BTCUSDT"
"21",2021-06-01 16:09:00,36041.8,36062.06,35969.58,36005.8,55.566566,2021-06-01 16:09:59,2001353.81994465,1210,28.182857,1015219.70283701,"BTCUSDT"
"22",2021-06-01 16:10:00,36009.01,36061.5,36005.79,36053.72,67.071829,2021-06-01 16:10:59,2417355.85712434,1358,45.940004,1655698.29388777,"BTCUSDT"
"23",2021-06-01 16:11:00,36052.44,36084.22,36030.23,36084.21,68.812074,2021-06-01 16:11:59,2481542.65508323,1085,26.450473,953983.19233501,"BTCUSDT"
"24",2021-06-01 16:12:00,36085.24,36090.71,36016.31,36026.78,72.878878,2021-06-01 16:12:59,2627949.2397544,1049,44.903587,1619200.77855382,"BTCUSDT"
"25",2021-06-01 16:13:00,36028.02,36029.37,35963.06,35978.67,53.970332,2021-06-01 16:13:59,1942577.51392227,1192,20.20106,727053.17394133,"BTCUSDT"
"26",2021-06-01 16:14:00,35978.66,36019.96,35961.41,36010.48,52.948368,2021-06-01 16:14:59,1906008.69840884,937,27.830802,1001941.16501622,"BTCUSDT"
"27",2021-06-01 16:15:00,36010.48,36014.98,35963.36,35963.38,26.254213,2021-06-01 16:15:59,944683.76473488,891,14.161653,509544.85370989,"BTCUSDT"
"28",2021-06-01 16:16:00,35963.37,36013.72,35947.59,36003.79,63.881082,2021-06-01 16:16:59,2297800.53846974,1011,29.212536,1050859.91997847,"BTCUSDT"
"29",2021-06-01 16:17:00,36000.69,36086.9,35998.72,36064.5,80.176175,2021-06-01 16:17:59,2889210.76710801,1114,56.328551,2029857.48784669,"BTCUSDT"
"30",2021-06-01 16:18:00,36062.75,36089.97,36046.48,36052.09,59.502076,2021-06-01 16:18:59,2145976.59603094,936,29.04805,1047706.05761632,"BTCUSDT"
"31",2021-06-01 16:19:00,36052.1,36094.18,36050,36090.45,25.964213,2021-06-01 16:19:59,936640.56366275,676,12.777429,460921.22972494,"BTCUSDT"
"32",2021-06-01 16:20:00,36090.73,36129.38,36058.65,36109.15,74.031978,2021-06-01 16:20:59,2672435.78161978,1077,53.33094,1925284.30258457,"BTCUSDT"
"33",2021-06-01 16:21:00,36109.15,36116.59,36087.98,36106.6,23.566399,2021-06-01 16:21:59,850815.39574508,676,12.752147,460399.0572815,"BTCUSDT"
"34",2021-06-01 16:22:00,36106.6,36129.91,36090,36098.02,23.120358,2021-06-01 16:22:59,834933.42594905,590,10.809372,390348.42490094,"BTCUSDT"
"35",2021-06-01 16:23:00,36098.03,36113.96,36065.01,36113.96,13.820569,2021-06-01 16:23:59,498755.69154951,597,8.88147,320523.17927444,"BTCUSDT"
"36",2021-06-01 16:24:00,36113.96,36130.82,36107.96,36118.16,26.590082,2021-06-01 16:24:59,960419.94887688,652,21.002185,758583.19065345,"BTCUSDT"
"37",2021-06-01 16:25:00,36118.16,36120.56,36079.51,36111.6,41.669671,2021-06-01 16:25:59,1504001.15977758,705,20.241843,730589.09229948,"BTCUSDT"
"38",2021-06-01 16:26:00,36111.59,36119.82,36078.3,36089.56,61.602876,2021-06-01 16:26:59,2223814.17006529,755,32.710332,1180806.58974439,"BTCUSDT"
"39",2021-06-01 16:27:00,36089.55,36127.96,36089.55,36124.2,64.393378,2021-06-01 16:27:59,2325178.86094454,1203,47.019889,1697824.10886582,"BTCUSDT"
"40",2021-06-01 16:28:00,36124.2,36128.05,36073.85,36086.03,42.730438,2021-06-01 16:28:59,1542298.06521257,703,23.414756,845144.72758742,"BTCUSDT"
"41",2021-06-01 16:29:00,36088.44,36096,36050.01,36089.49,86.198085,2021-06-01 16:29:59,3109613.63585861,1409,42.775091,1543165.88858827,"BTCUSDT"
"42",2021-06-01 16:30:00,36089.88,36094.62,35975.91,36005.82,57.462198,2021-06-01 16:30:59,2069717.62620382,1368,14.199479,511488.61391187,"BTCUSDT"
"43",2021-06-01 16:31:00,36005.83,36079.19,35987.21,36034.56,42.991212,2021-06-01 16:31:59,1549256.02551325,1060,27.643918,996221.51170884,"BTCUSDT"
"44",2021-06-01 16:32:00,36034.56,36063.83,35990.04,36002.55,40.515028,2021-06-01 16:32:59,1459497.67380734,974,15.153336,545902.42633911,"BTCUSDT"
"45",2021-06-01 16:33:00,36002.54,36072.35,36000,36062.01,34.491384,2021-06-01 16:33:59,1242434.68944038,662,24.341658,876680.33293136,"BTCUSDT"
"46",2021-06-01 16:34:00,36062.01,36076.46,36023.93,36034.33,41.919305,2021-06-01 16:34:59,1511268.28714171,737,11.975669,431763.44434369,"BTCUSDT"
"47",2021-06-01 16:35:00,36039.93,36060,35998.57,36003.15,22.788631,2021-06-01 16:35:59,820973.97454589,719,9.074445,326888.97831318,"BTCUSDT"
"48",2021-06-01 16:36:00,36003.15,36020.86,35986.39,36000.64,40.93578,2021-06-01 16:36:59,1473783.15447333,745,16.6853,600707.39991267,"BTCUSDT"
"49",2021-06-01 16:37:00,36000.63,36019.43,35983.5,35987.31,43.19143,2021-06-01 16:37:59,1554835.54156991,804,20.321164,731551.54802791,"BTCUSDT"
"50",2021-06-01 16:38:00,35986.6,36018.02,35978.5,36007.66,35.499341,2021-06-01 16:38:59,1278051.86103624,798,21.20473,763388.55902315,"BTCUSDT"
"51",2021-06-01 16:39:00,36007.67,36008.33,35900.28,35942.78,91.782455,2021-06-01 16:39:59,3299489.12085646,1705,23.783798,854972.93039818,"BTCUSDT"
"52",2021-06-01 16:40:00,35942.78,35946.59,35911.1,35915.18,40.321492,2021-06-01 16:40:59,1448692.92861691,873,17.359251,623653.19411942,"BTCUSDT"
"53",2021-06-01 16:41:00,35915.18,35916.51,35876,35876.1,61.421266,2021-06-01 16:41:59,2204504.47240782,1331,21.672549,777832.99718805,"BTCUSDT"
"54",2021-06-01 16:42:00,35876.1,35892.04,35829.45,35832.95,39.778678,2021-06-01 16:42:59,1426514.47631142,1638,15.4079,552499.11621654,"BTCUSDT"
"55",2021-06-01 16:43:00,35832.95,35869.39,35831.46,35847.38,68.181503,2021-06-01 16:43:59,2444001.275537,891,47.513041,1703046.67336936,"BTCUSDT"
"56",2021-06-01 16:44:00,35847.38,35847.39,35815.45,35828.87,42.587498,2021-06-01 16:44:59,1525691.76800768,1109,20.894415,748517.70873902,"BTCUSDT"
"57",2021-06-01 16:45:00,35828.87,35907.42,35825.12,35907.37,51.428652,2021-06-01 16:45:59,1844696.07737988,1463,32.41013,1162520.77197228,"BTCUSDT"
"58",2021-06-01 16:46:00,35907.36,35959.48,35907.36,35930.72,58.627426,2021-06-01 16:46:59,2106370.59872747,1419,42.09738,1512504.97583228,"BTCUSDT"
"59",2021-06-01 16:47:00,35933.08,35957.42,35920,35920.01,41.569551,2021-06-01 16:47:59,1493778.02824731,848,20.468382,735522.36632374,"BTCUSDT"
"60",2021-06-01 16:48:00,35920,35927.87,35861.06,35890.82,31.318266,2021-06-01 16:48:59,1123997.27182143,840,9.456396,339364.23596272,"BTCUSDT"
"61",2021-06-01 16:49:00,35889.31,35948.22,35884.4,35933.96,23.885801,2021-06-01 16:49:59,858009.63844574,688,13.266691,476556.96451316,"BTCUSDT"
"62",2021-06-01 16:50:00,35933.95,35933.95,35886.07,35918.81,27.815516,2021-06-01 16:50:59,998806.34561822,760,12.980975,466143.52957538,"BTCUSDT"
"63",2021-06-01 16:51:00,35918.8,35929.56,35886.09,35912.56,11.35995,2021-06-01 16:51:59,407914.60434282,510,5.484707,196939.30473696,"BTCUSDT"
"64",2021-06-01 16:52:00,35912.56,35912.56,35850,35861.94,26.891388,2021-06-01 16:52:59,964506.81384466,915,9.575638,343492.91869318,"BTCUSDT"
"65",2021-06-01 16:53:00,35861.93,35925.24,35856.23,35868.33,51.194939,2021-06-01 16:53:59,1837797.28219302,649,31.806423,1141976.95380866,"BTCUSDT"
