"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","symbol"
2021-05-13 04:00:00,51332.74,51367.19,50605.38,50879.72,3632.057094,2021-05-13 04:59:59,185205321.51294,101776,1790.784202,91289466.7258568,"BTCUSDT"
2021-05-13 05:00:00,50879.73,50950,49938.44,50015.82,4616.644825,2021-05-13 05:59:59,232592649.4442,127263,2286.173201,115209979.241441,"BTCUSDT"
2021-05-13 06:00:00,50015.83,50354.28,48747.89,49212.91,8623.516471,2021-05-13 06:59:59,428217306.163141,205034,4070.457418,202192558.518784,"BTCUSDT"
2021-05-13 07:00:00,49212.92,50243.61,48901,49171.76,8782.325893,2021-05-13 07:59:59,435431030.930518,182114,4753.650951,235755353.206117,"BTCUSDT"
2021-05-13 08:00:00,49176.56,49909.8,48457.12,49777.01,6132.186867,2021-05-13 08:59:59,301930927.922547,152730,3048.857802,150122521.674275,"BTCUSDT"
2021-05-13 09:00:00,49777.01,50400,49528.46,50158.05,4589.170703,2021-05-13 09:59:59,229794939.996319,122933,2373.091961,118836338.26224,"BTCUSDT"
2021-05-13 10:00:00,50159.29,50585.52,49594,50500,3970.491935,2021-05-13 10:59:59,199239936.803694,108246,1992.321436,100007792.17076,"BTCUSDT"
2021-05-13 11:00:00,50500.01,50884.34,50207.56,50288.69,3752.911213,2021-05-13 11:59:59,189652725.600613,104145,1796.296113,90779670.0498867,"BTCUSDT"
2021-05-13 12:00:00,50288.68,50394.2,49458.68,49627.64,4978.783253,2021-05-13 12:59:59,248565796.067294,115590,2460.808905,122849602.633995,"BTCUSDT"
2021-05-13 13:00:00,49627.63,50429.99,48434.2,48635.4,6007.197865,2021-05-13 13:59:59,297604819.872209,149029,2975.154783,147536779.714071,"BTCUSDT"
2021-05-13 14:00:00,48635.65,48888,47000,48465.11,11630.740179,2021-05-13 14:59:59,558009110.944247,244584,5042.36741,242062338.729387,"BTCUSDT"
2021-05-13 15:00:00,48465.11,48964.41,47672.59,47844.04,6375.313151,2021-05-13 15:59:59,308258295.123961,149295,3005.197745,145261413.798177,"BTCUSDT"
2021-05-13 16:00:00,47844.04,49384.2,47832.38,48568.85,4923.945507,2021-05-13 16:59:59,239925381.580245,119719,2515.509306,122561293.777738,"BTCUSDT"
2021-05-13 17:00:00,48569.97,49450,48367.56,49304.15,4073.877133,2021-05-13 17:59:59,199796526.897778,100429,2208.728572,108332697.321647,"BTCUSDT"
2021-05-13 18:00:00,49304.11,49866.03,49000,49564.94,2593.165053,2021-05-13 18:59:59,128484104.796879,93588,1323.583565,65594103.2145313,"BTCUSDT"
2021-05-13 19:00:00,49564.93,49879.77,48838.38,48857.72,3571.571945,2021-05-13 19:59:59,176481652.09279,110578,1867.051034,92267248.01684,"BTCUSDT"
2021-05-13 20:00:00,48857.76,49759.1,48350,49670.97,3799.359253,2021-05-13 20:59:59,186472761.469016,121978,1957.35411,96093433.9259999,"BTCUSDT"
2021-05-13 21:00:00,49671.92,50241.19,49479.77,50029.78,4470.636113,2021-05-13 21:59:59,223240429.257154,113496,2197.549873,109724109.435623,"BTCUSDT"
2021-05-13 22:00:00,50029.77,50390.7,49855.09,50015.76,3253.803967,2021-05-13 22:59:59,163132723.817333,84399,1431.144637,71755916.6460693,"BTCUSDT"
2021-05-13 23:00:00,50019.56,50070.68,49414.5,49464.64,3144.16476,2021-05-13 23:59:59,156120749.153498,77989,1346.561575,66851661.1986571,"BTCUSDT"
2021-05-14 00:00:00,49464.63,49663.18,49021.01,49157.93,2794.497577,2021-05-14 00:59:59,137960403.498149,65043,1410.004485,69599482.175726,"BTCUSDT"
2021-05-14 01:00:00,49157.94,49540.09,48799.75,49198.86,3932.039844,2021-05-14 01:59:59,193500416.235116,87094,1732.531054,85274923.0773969,"BTCUSDT"
2021-05-14 02:00:00,49195.17,49736.84,49042.29,49653.44,2676.459272,2021-05-14 02:59:59,132162981.282612,72991,1346.886364,66506287.0058272,"BTCUSDT"
